Textbox8,tbToday
Make/Model Attributes Report,Report Generated: 9/28/2012

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Manufacturer,Make_Model,Make_Model_Description,Attribute,Attribute_Value
Biospherical Instruments,QSP-2150,QSP-2150,Make/Model Website,
Biospherical Instruments,QSP-2150,QSP-2150,Output Description,
Biospherical Instruments,QSP-2150,QSP-2150,Vendor Website,
Biospherical Instruments,QSP-2155,QSP-2155,Connector,
Biospherical Instruments,QSP-2155,QSP-2155,Input Voltage Range,
Biospherical Instruments,QSP-2155,QSP-2155,Interface,
Biospherical Instruments,QSP-2155,QSP-2155,Lead Time,
Biospherical Instruments,QSP-2155,QSP-2155,Make/Model Website,
Biospherical Instruments,QSP-2155,QSP-2155,Output Description,
Biospherical Instruments,QSP-2155,QSP-2155,Vendor Website,
Guralp,CMG-3T,CMG-3T,Connector,
Guralp,CMG-3T,CMG-3T,Input Voltage Range,
Guralp,CMG-3T,CMG-3T,Interface,Ethernet
Guralp,CMG-3T,CMG-3T,Lead Time,
Guralp,CMG-3T,CMG-3T,Make/Model Website,
Guralp,CMG-3T,CMG-3T,Output Description,
Guralp,CMG-3T,CMG-3T,Vendor Website,
Marv Lilley lab,BARS,BARS,Connector,"MCBH(WB)-8-FS-Ti (1:Data Gnd, 2:RD B+, 3: RD A-, 4:PPS/NC if not used, 5:TD A-, 6:TD B+, 7:Pwr Gnd, 8:+VDC)"
Marv Lilley lab,BARS,BARS,Input Voltage Range,24V (stepped down to 9V internally)
Marv Lilley lab,BARS,BARS,Interface,RS-422
Marv Lilley lab,BARS,BARS,Lead Time,
Marv Lilley lab,BARS,BARS,Make/Model Website,
Marv Lilley lab,BARS,BARS,Output Description,
Marv Lilley lab,BARS,BARS,Vendor Website,[Marv Lilley lab|http://www.ocean.washington.edu/home/Marvin+Lilley]
Nobska,MAVS-4,MAVS-4,Connector,
Nobska,MAVS-4,MAVS-4,Input Voltage Range,
Nobska,MAVS-4,MAVS-4,Interface,
Nobska,MAVS-4,MAVS-4,Lead Time,"Quantity 1 to 5: 30 Days, Quantity 6 to 10: 45 Days, Quantities Greater than 10: 60 Days"
Nobska,MAVS-4,MAVS-4,Make/Model Website,
Nobska,MAVS-4,MAVS-4,Output Description,
Nobska,MAVS-4,MAVS-4,Vendor Website,
Nortek,Aquadopp,Aquadopp,Connector,
Nortek,Aquadopp,Aquadopp,Input Voltage Range,
Nortek,Aquadopp,Aquadopp,Interface,
Nortek,Aquadopp,Aquadopp,Lead Time,
Nortek,Aquadopp,Aquadopp,Make/Model Website,
Nortek,Aquadopp,Aquadopp,Output Description,
Nortek,Aquadopp,Aquadopp,Vendor Website,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Connector,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Input Voltage Range,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Interface,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Lead Time,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Make/Model Website,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Output Description,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Vendor Website,
Nortek,Aquadopp 300m,Aquadopp 300m,Connector,
Nortek,Aquadopp 300m,Aquadopp 300m,Input Voltage Range,
Nortek,Aquadopp 300m,Aquadopp 300m,Interface,
Nortek,Aquadopp 300m,Aquadopp 300m,Lead Time,
Nortek,Aquadopp 300m,Aquadopp 300m,Make/Model Website,
Nortek,Aquadopp 300m,Aquadopp 300m,Output Description,
Nortek,Aquadopp 300m,Aquadopp 300m,Vendor Website,
Nortek,VECTOR,VECTOR,Connector,
Nortek,VECTOR,VECTOR,Input Voltage Range,
Nortek,VECTOR,VECTOR,Interface,
Nortek,VECTOR,VECTOR,Lead Time,6-8 weeks
Nortek,VECTOR,VECTOR,Make/Model Website,
Nortek,VECTOR,VECTOR,Output Description,
Nortek,VECTOR,VECTOR,Vendor Website,
Pro-Oceanus,pCO2-pro,pCO2-pro,Connector,
Pro-Oceanus,pCO2-pro,pCO2-pro,Input Voltage Range,
Pro-Oceanus,pCO2-pro,pCO2-pro,Interface,
Pro-Oceanus,pCO2-pro,pCO2-pro,Lead Time,
Pro-Oceanus,pCO2-pro,pCO2-pro,Make/Model Website,
Pro-Oceanus,pCO2-pro,pCO2-pro,Output Description,
Pro-Oceanus,pCO2-pro,pCO2-pro,Vendor Website,
Satlantic,Deep SUNA,Deep SUNA,Connector,
Satlantic,Deep SUNA,Deep SUNA,Input Voltage Range,
Satlantic,Deep SUNA,Deep SUNA,Interface,
Satlantic,Deep SUNA,Deep SUNA,Lead Time,
Satlantic,Deep SUNA,Deep SUNA,Make/Model Website,
Satlantic,Deep SUNA,Deep SUNA,Output Description,
Satlantic,Deep SUNA,Deep SUNA,Vendor Website,[Satlantic|http://www.satlantic.com/]
Satlantic,ISUS,ISUS,Connector,
Satlantic,ISUS,ISUS,Input Voltage Range,
Satlantic,ISUS,ISUS,Interface,
Satlantic,ISUS,ISUS,Lead Time,10-12 weeks
Satlantic,ISUS,ISUS,Make/Model Website,
Satlantic,ISUS,ISUS,Output Description,
Satlantic,ISUS,ISUS,Vendor Website,[Satlantic|http://www.satlantic.com/]
Satlantic,OCR507 ICSW,OCR507 ICSW,Connector,
Satlantic,OCR507 ICSW,OCR507 ICSW,Input Voltage Range,
Satlantic,OCR507 ICSW,OCR507 ICSW,Interface,
Satlantic,OCR507 ICSW,OCR507 ICSW,Lead Time,6-8 weeks
Satlantic,OCR507 ICSW,OCR507 ICSW,Make/Model Website,
Satlantic,OCR507 ICSW,OCR507 ICSW,Output Description,
Satlantic,OCR507 ICSW,OCR507 ICSW,Vendor Website,[Satlantic|http://www.satlantic.com/]
Satlantic,PAR-SER-600m,PAR-SER-600m,Connector,"MCBH(WB)-6-FS-Ti (1:Gnd, 2:RXD, 3:TXD, 4:+VDC, 5:NC, 6:NC)"
Satlantic,PAR-SER-600m,PAR-SER-600m,Input Voltage Range,6-30 VDC
Satlantic,PAR-SER-600m,PAR-SER-600m,Interface,RS-232
Satlantic,PAR-SER-600m,PAR-SER-600m,Lead Time,
Satlantic,PAR-SER-600m,PAR-SER-600m,Make/Model Website,[PAR-SER-600m|http://www.satlantic.com/details.asp?ID=30&CategoryID=1&SubCategoryID=1008]
Satlantic,PAR-SER-600m,PAR-SER-600m,Output Description,
Satlantic,PAR-SER-600m,PAR-SER-600m,Vendor Website,[Satlantic|http://www.satlantic.com/]
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Connector,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Input Voltage Range,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Interface,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Lead Time,6-8 weeks
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Make/Model Website,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Output Description,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Vendor Website,
Sea-Bird,SBE 26plus,SBE 26plus,Connector,
Sea-Bird,SBE 26plus,SBE 26plus,Input Voltage Range,
Sea-Bird,SBE 26plus,SBE 26plus,Interface,
Sea-Bird,SBE 26plus,SBE 26plus,Lead Time,
Sea-Bird,SBE 26plus,SBE 26plus,Make/Model Website,
Sea-Bird,SBE 26plus,SBE 26plus,Output Description,
Sea-Bird,SBE 26plus,SBE 26plus,Vendor Website,
Sea-Bird,SBE 37IM,SBE 37IM,Connector,
Sea-Bird,SBE 37IM,SBE 37IM,Input Voltage Range,
Sea-Bird,SBE 37IM,SBE 37IM,Interface,
Sea-Bird,SBE 37IM,SBE 37IM,Lead Time,6-8 weeks
Sea-Bird,SBE 37IM,SBE 37IM,Make/Model Website,
Sea-Bird,SBE 37IM,SBE 37IM,Output Description,
Sea-Bird,SBE 37IM,SBE 37IM,Vendor Website,
Sea-Bird,SBE 54,SBE 54,Connector,"MCBH(WB)-6-FS-Ti (1:Gnd, 2:RXD, 3:TXD, 4:+VDC, 5:NC, 6:NC)"
Sea-Bird,SBE 54,SBE 54,Input Voltage Range,12-28 VDC
Sea-Bird,SBE 54,SBE 54,Interface,RS-232
Sea-Bird,SBE 54,SBE 54,Lead Time,
Sea-Bird,SBE 54,SBE 54,Make/Model Website,
Sea-Bird,SBE 54,SBE 54,Output Description,Data output is in XML format
Sea-Bird,SBE 54,SBE 54,Vendor Website,
Star Engineering,ASIMET,ASIMET,Connector,
Star Engineering,ASIMET,ASIMET,Input Voltage Range,
Star Engineering,ASIMET,ASIMET,Interface,
Star Engineering,ASIMET,ASIMET,Lead Time,
Star Engineering,ASIMET,ASIMET,Make/Model Website,
Star Engineering,ASIMET,ASIMET,Output Description,
Star Engineering,ASIMET,ASIMET,Vendor Website,
Sunburst,SAMI-pCO2,SAMI-pCO2,Connector,
Sunburst,SAMI-pCO2,SAMI-pCO2,Input Voltage Range,
Sunburst,SAMI-pCO2,SAMI-pCO2,Interface,
Sunburst,SAMI-pCO2,SAMI-pCO2,Lead Time,7-9 weeks
Sunburst,SAMI-pCO2,SAMI-pCO2,Make/Model Website,
Sunburst,SAMI-pCO2,SAMI-pCO2,Output Description,
Sunburst,SAMI-pCO2,SAMI-pCO2,Vendor Website,
Sunburst,SAMI-pH,SAMI-pH,Connector,
Sunburst,SAMI-pH,SAMI-pH,Input Voltage Range,
Sunburst,SAMI-pH,SAMI-pH,Interface,
Sunburst,SAMI-pH,SAMI-pH,Lead Time,7-9 weeks
Sunburst,SAMI-pH,SAMI-pH,Make/Model Website,
Sunburst,SAMI-pH,SAMI-pH,Output Description,
Sunburst,SAMI-pH,SAMI-pH,Vendor Website,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Connector,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Input Voltage Range,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Interface,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Lead Time,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Make/Model Website,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Output Description,
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,Vendor Website,
Teledyne RDI,Quartermaster 150kHz,Quartermaster 150kHz,Connector,
Teledyne RDI,Quartermaster 150kHz,Quartermaster 150kHz,Input Voltage Range,20-50 VDC
Teledyne RDI,Quartermaster 150kHz,Quartermaster 150kHz,Interface,RS-232
Teledyne RDI,Quartermaster 150kHz,Quartermaster 150kHz,Lead Time,
Teledyne RDI,Quartermaster 150kHz,Quartermaster 150kHz,Make/Model Website,
Teledyne RDI,Quartermaster 150kHz,Quartermaster 150kHz,Output Description,
Teledyne RDI,Quartermaster 150kHz,Quartermaster 150kHz,Vendor Website,
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Connector,
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Input Voltage Range,20-50VDC
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Interface,"2 x RS-232 (First serial connection to beams 1-4, Second to beam 5)"
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Lead Time,
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Make/Model Website,
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Output Description,
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,Vendor Website,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Connector,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Input Voltage Range,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Interface,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Lead Time,60 days (more with biofouling coating)
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Make/Model Website,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Output Description,
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,Vendor Website,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Connector,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Input Voltage Range,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Interface,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Lead Time,60 days (more with biofouling coating)
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Make/Model Website,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Output Description,
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,Vendor Website,
Teledyne RDI,WorkHorse Monitor 150khz,WorkHorse Monitor 150khz,Connector,
Teledyne RDI,WorkHorse Monitor 150khz,WorkHorse Monitor 150khz,Input Voltage Range,
Teledyne RDI,WorkHorse Monitor 150khz,WorkHorse Monitor 150khz,Interface,
Teledyne RDI,WorkHorse Monitor 150khz,WorkHorse Monitor 150khz,Lead Time,60 days (more with biofouling coating)
Teledyne RDI,WorkHorse Monitor 150khz,WorkHorse Monitor 150khz,Make/Model Website,
Teledyne RDI,WorkHorse Monitor 150khz,WorkHorse Monitor 150khz,Output Description,
Teledyne RDI,WorkHorse Monitor 150khz,WorkHorse Monitor 150khz,Vendor Website,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Connector,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Input Voltage Range,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Interface,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Lead Time,60 days (more with biofouling coating)
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Make/Model Website,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Output Description,
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,Vendor Website,
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Connector,
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Input Voltage Range,
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Interface,
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Lead Time,60 days (more with biofouling coating)
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Make/Model Website,[WorkHorse Sentinel 600khz|http://www.rdinstruments.com/sen.aspx]
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Output Description,
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,Vendor Website,
WET Labs,AC-S Deep,AC-S Deep,Connector,
WET Labs,AC-S Deep,AC-S Deep,Input Voltage Range,
WET Labs,AC-S Deep,AC-S Deep,Interface,
WET Labs,AC-S Deep,AC-S Deep,Lead Time,10-12 weeks
WET Labs,AC-S Deep,AC-S Deep,Make/Model Website,
WET Labs,AC-S Deep,AC-S Deep,Output Description,
WET Labs,AC-S Deep,AC-S Deep,Vendor Website,
WET Labs,ECO Puck,ECO Puck,Connector,
WET Labs,ECO Puck,ECO Puck,Input Voltage Range,
WET Labs,ECO Puck,ECO Puck,Interface,
WET Labs,ECO Puck,ECO Puck,Lead Time,
WET Labs,ECO Puck,ECO Puck,Make/Model Website,
WET Labs,ECO Puck,ECO Puck,Output Description,
WET Labs,ECO Puck,ECO Puck,Vendor Website,
WET Labs,ECO Triplet,ECO Triplet,Connector,
WET Labs,ECO Triplet,ECO Triplet,Input Voltage Range,
WET Labs,ECO Triplet,ECO Triplet,Interface,
WET Labs,ECO Triplet,ECO Triplet,Lead Time,
WET Labs,ECO Triplet,ECO Triplet,Make/Model Website,
WET Labs,ECO Triplet,ECO Triplet,Output Description,
WET Labs,ECO Triplet,ECO Triplet,Vendor Website,
WET Labs,ECO Triplet-w,ECO Triplet-w,Connector,
WET Labs,ECO Triplet-w,ECO Triplet-w,Input Voltage Range,
WET Labs,ECO Triplet-w,ECO Triplet-w,Interface,
WET Labs,ECO Triplet-w,ECO Triplet-w,Lead Time,6-8 weeks
WET Labs,ECO Triplet-w,ECO Triplet-w,Make/Model Website,
WET Labs,ECO Triplet-w,ECO Triplet-w,Output Description,
WET Labs,ECO Triplet-w,ECO Triplet-w,Vendor Website,

