"Scenario","confluence","ID","owner_id","org_ids","site_id","device_id","activate","d/name","d/description","d/temporal_constraint"
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy27","USER_1","MF_3","GumSite27","GumDevice27","FALSE","GumDep27","deployment for gummi test device 27",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy28","USER_1","MF_3","GumSite28","GumDevice28","FALSE","GumDep28","deployment for gummi test device 28",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy29","USER_1","MF_3","GumSite29","GumDevice29","FALSE","GumDep29","deployment for gummi test device 29",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy30","USER_1","MF_3","GumSite30","GumDevice30","FALSE","GumDep30","deployment for gummi test device 30",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy31","USER_1","MF_3","GumSite31","GumDevice31","FALSE","GumDep31","deployment for gummi test device 31",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy32","USER_1","MF_3","GumSite32","GumDevice32","FALSE","GumDep32","deployment for gummi test device 32",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy33","USER_1","MF_3","GumSite33","GumDevice33","FALSE","GumDep33","deployment for gummi test device 33",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy34","USER_1","MF_3","GumSite34","GumDevice34","FALSE","GumDep34","deployment for gummi test device 34",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy35","USER_1","MF_3","GumSite35","GumDevice35","FALSE","GumDep35","deployment for gummi test device 35",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy36","USER_1","MF_3","GumSite36","GumDevice36","FALSE","GumDep36","deployment for gummi test device 36",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy37","USER_1","MF_3","GumSite37","GumDevice37","FALSE","GumDep37","deployment for gummi test device 37",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy38","USER_1","MF_3","GumSite38","GumDevice38","FALSE","GumDep38","deployment for gummi test device 38",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy39","USER_1","MF_3","GumSite39","GumDevice39","FALSE","GumDep39","deployment for gummi test device 39",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy40","USER_1","MF_3","GumSite40","GumDevice40","FALSE","GumDep40","deployment for gummi test device 40",
