"Scenario","ID","confluence","owner_id","org_ids","parent_site_id","instrument_model_ids","is/name","is/description","is/geospatial_constraint/geospatiallatmin","is/geospatial_constraint/geospatiallatmax","is/geospatial_constraint/geospatiallonmin","is/geospatial_constraint/geospatiallonmax","is/geospatial_constraint/minbottomdepth","is/geospatial_constraint/maxbottomdepth","is/geospatial_constraint/geospatialverticalpositive","is/temporal_constraint","is/entity_constraint"
"R2_DEMO","GumSite13","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 13","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite14","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 14","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite15","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 15","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite16","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 16","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite17","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 17","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite18","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 18","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite19","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 19","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite20","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 20","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite21","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 21","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite22","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 22","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite23","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 23","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite24","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 24","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite25","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 25","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite26","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 26","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite27","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 27","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite28","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 28","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite29","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 29","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite30","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 30","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite31","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 31","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite32","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 32","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite33","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 33","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite34","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 34","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite35","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 35","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite36","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 36","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite37","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 37","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite38","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 38","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite39","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 39","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite40","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 40","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
