__pk_jt_ScreenElement_ScreenElement_ID,_fk_Graphic_ID #override,Embedding Information Level,_fk_ScreenElement_ID #embedded,_fk_ScreenElement_ID #embedding,_fk_ScreenLabel_ID #override,Position,Data Path,Suggested Data Path,Data Path Description
"2361695","","0","2161417","2164871","2090626","B03","orgs.0.name","org.name",""
"2361696","","0","2164871","2163123","","G02","unknown_1696","N/A",""
"2361697","","0","2164872","2163031","","B05","computed.operational_state.value","computed.operational_state",""
"2361698","","0","2164873","2163063","","B05","computed.operational_state.value","computed.operational_state",""
"2361699","","0","2164874","2164236","","B05","computed.operational_state.value","computed.operational_state",""
"2361700","","0","2163933","2164876","","B01","computed.last_granule.value","list_ooi","list of latest value for each variable in primary dataproduct    "
"2361701","","0","2164876","2164875","","G01","unknown759","N/A",""
"2361702","","0","2163124","2163152","","V03","unknown_1702","N/A",""
"2361703","","2","2164883","2164079","","B03","resource.reference_designator","resource.reference_designator",""
"2361704","","2","2164884","2164762","","B03","resource.reference_designator","platform_site.reference_designator",""
"2361705","","2","2164884","2164818","","B03","resource.reference_designator","platform_site.reference_designator",""
"2361706","","2","2164882","2164833","","B03","resource.reference_designator","resource.reference_designator",""
"2361707","","0","2164145","2164198","2090862","G01","unknown_1707","N/A",""
"2361708","","0","2163148","2163152","","V02","unknown1273","N/A",""
"2361709","","0","2164252","2164888","","T01","type_","table_ooi (2164888): resource.type_",""
"2361710","","0","2161399","2164888","","T02","name","table_ooi (2164888): resource.name",""
"2361711","","0","2164049","2164888","","T03","event_type","table_ooi (2164888): notification_request.event_type",""
"2361712","","0","2164255","2164716","","T04","deployment_info.@index.device_status","table_ooi (2164716): device.aggregated_status",""
"2361713","","0","2164890","2164889","","B01","resource.alerts","resource.alerts",""
"2361714","","0","2164889","2164198","","G05","unknown_1714","N/A",""
"2361715","","0","2164891","2164892","2090863","B01","resource.alerts","attribute_group_dynamic_ooi",""
"2361716","","0","2161395","2164861","2090144","B02","source_device.name","instrument_device.name",""
"2361717","","0","2164316","2164716","","T12","deployment_info.@index.is_primary","table_ooi (2164716): data_producer.is_primary",""
"2361718","","0","2164894","2164006","","B06","computed.is_primary.value","data_producer.is_primary",""
"2361720","","0","2163052","2164895","","B01","platforms","table_ooi",""
"2361721","","0","2164895","2164554","","G01","unknown731","N/A",""
"2361722","","0","2164895","2164553","","G01","unknown_1722","N/A",""
"2361726","","0","2164896","2164198","2090896","G02","unknown_1726 user display settings","N/A",""
"2361728","","0","2164897","2164896","2090389","B01","unknown_1725 Display Settings","resource.variables","Link to ION Display Setting Variables"
