__pk_ObjectField_ID,CI ID,Object Type,Name,Object Field Type,Base Field,Description,Information Level
"2490845","2013552","2480199","offset_x","2480184","","offset location of the mounted device along the Y axis of the mounting platform, with more positive offsets indicating the device is further along the positive direction of that axis and  indicating the device is at the origin of the axis (see https://confluence.oceanobservatories.org/display/CIDev/Coordinate+Systems+and+Coordinate+Transformations#CoordinateSystemsandCoordinateTransformations-MountingPosition)",""
"2490846","2013553","2480199","offset_y","2480184","","offset location of the mounted device along the Z axis of the mounting platform, with more positive offsets indicating the device is further along the positive direction of that axis and  indicating the device is at the origin of the axis (see https://confluence.oceanobservatories.org/display/CIDev/Coordinate+Systems+and+Coordinate+Transformations#CoordinateSystemsandCoordinateTransformations-MountingPosition)",""
"2490847","2013554","2480199","offset_z","2480184","","offset location of the mounted device along the X axis of the mounting platform, with more positive offsets indicating the device is further along the positive direction of that axis andd  indicating the device is at the origin of the axis (seehttps://confluence.oceanobservatories.org/display/CIDev/Coordinate+Systems+and+Coordinate+Transformations#CoordinateSystemsandCoordinateTransformations-MountingPosition)",""
"2490848","2013555","2480199","rotation_x","2480184","","indicates which way a device is pointing relative to its platform; specifies the rotation around the X axis (the first rotation offset) in degrees clockwise; assumes device is pointing out Z axis (see https://confluence.oceanobservatories.org/display/CIDev/Coordinate+Systems+and+Coordinate+Transformations#CoordinateSystemsandCoordinateTransformations-MountingOrientation)",""
"2490849","2013556","2480199","rotation_y","2480184","","indicates which way a device is pointing relative to its platform; specifies the rotation around the Y axis (the second rotation offset, after the X rotation) in degrees clockwise; assumes device is pointing out Z axis (see https://confluence.oceanobservatories.org/display/CIDev/Coordinate+Systems+and+Coordinate+Transformations#CoordinateSystemsandCoordinateTransformations-MountingOrientation)",""
"2490850","2013557","2480199","rotation_z","2480184","","indicates which way a device is pointing relative to its platform; specifies the rotation around the Z axis (the last rotation offset, after the X and Y rotations) in degrees clockwise; assumes device is pointing out Z axis (see https://confluence.oceanobservatories.org/display/CIDev/Coordinate+Systems+and+Coordinate+Transformations#CoordinateSystemsandCoordinateTransformations-MountingOrientation)",""
"2490851","2490800","2480199","nominal_baud_rate","","","",""
"2490852","2490801","2480199","nominal_communication_protocol","","","",""
"2490853","2490803","2480199","nominal_current_limit","","","",""
"2490854","2013154","2480194","phone_number","2480187","","The phone number.  phone number is assumed US if no '+' prefix exists to specify a country code",""
"2490855","2013155","2480194","phone_type","2480187","","The type of phone number",""
"2490856","2490797","2480194","sms","2480182","","Boolean that indicates if the phone number is SMS",""
"2490862","2013425","2480193","standard_name","","","From the CF standard_names",""
"2490863","2013426","2480193","long_name","","","a longer descriptive name",""
"2490864","2013427","2480193","ooi_short_name","","","The 7 character code (now being expanded to >7 characters) used by OL to identify core data producs, e.g. TEMPWAT)",""
"2490865","2013428","2480193","units","","","",""
"2490866","2013429","2480193","fill_value","","","indicates the value that codes for a missing value",""
"2490867","2013430","2480193","cdm_data_type","","","The THREDDS data type",""
"2490868","2013431","2480193","parameter_characteristic_reports","","","Provides information on the measurement accuracy, precision, etc.",""
"2490869","2013432","2480193","axis","","","For CF compliance, holds X, Y, Z or T for variables holding lat, lon, depth, and time info, respectively",""
"2490870","2013434","2480193","comment","","","",""
"2490871","2013435","2480193","code_reports","","","Provide the meaning of flags, or other code lists that need description",""
"2490872","2490350","2480193","index_key","2480187","","",""
"2490873","2490351","2480193","ion_name","2480187","","",""
"2490874","2490349","2480193","variables","2480186","","",""
"2490875","2013436","2480195","characteristic_name","","","Name of the characteristic being reported on. Common ones include accuracy, precision, and drift",""
"2490876","2013437","2480195","value","","","The value of the characteristic",""
"2490877","2013438","2480195","units","","","The units associated with the value of the characteristic",""
"2490878","2013439","2480195","applicable_range_min","","","If the value is only valid within a particular range, this gives the minimum. Must be in same units as the value.",""
"2490879","2013440","2480195","applicable_range_max","","","If the value is only valid within a particular range, this gives the maximum. Must be in same units as the value.",""
"2490880","2013441","2480195","source","","","Indicates the category of the source of the value, such as manufacturer, literature, etc",""
"2490881","2013442","2480195","comments","","","Any additional important information about the characteristic",""
"2490882","","2480189","name","2480189","","","0"
"2490883","","2480195","time_stamp","2480187","","","0"
"2490886","","2480189","severity_indicator","","","","1"
"2490889","2490770","2480188","roles","","","",""
"2490890","2490842","2480203","start_datetime","","","The start of the timespan",""
"2490891","2490843","2480203","end_datetime","","","The end of the timespan",""
"2490892","2490844","2480203","name","","","Allows the kind of datetime to be specified, in cases where more than one TemporalBounds is used in a ResourceType. For example to differentiate the planned vs actual deployment datetimes.",""
"2490893","2490805","2480193","ioos_category","","","Selection from IOOS controlled vocabulary for parameters",""
"2490894","2490807","2480193","reference_urls","","","List of URLs with information about the data parameter",""
"2490895","2490856","2480193","additional_attributes","","","Holds additional attributes, especially those provided by external providers that are difficult to characterize in advance",""
"2490896","2490845","2480199","device_id","","","the id of the device to which this position applies relative to the parent device  (usually an instrument on a platform)",""
"2490917","2490116","2480207","data_sampling","","","",""
"2490918","2490117","2480207","parameters","","","",""
"2490919","2490343","2480208","last_signature","","","",""
"2490920","2490344","2480208","last_update_result","","","",""
"2490921","2490345","2480208","last_update_timestamp","","","",""
"2490922","2490346","2480208","parameters","","","",""
"2490923","2013495","2480206","term_value","","","A keyword applied to a resource",""
"2490924","2013496","2480206","vocabulary_name","","","The name of the vocabulary or guideline from which the keyword was drawn, if applicable",""
"2490925","2490798","2480206","term_url","","","A URL defining a term",""
"2490926","2490799","2480206","vocabulary_url","","","a URL to the source of a controlled vocabulary",""
"2490927","2490806","2480205","user","","","The identity of the user who has a subscription to the data product",""
"2490928","2490808","2480205","temporal_bounds","","","The start and end datetime of the user subscription. End datetime will be null for ongoing subscriptions",""
"2490929","2490809","2480209","archive_name","","","Name of an external repository where the data product has been submitted",""
"2490930","2490810","2480209","submission_datetime","","","The last datetime this data product was submitted to an external repository  (timestamp, no constraints, stored)",""
"2490931","2490811","2480209","archive_url","","","The URL of the data product within an external repository ",""
"2490932","2490812","2480209","id_in_archive","","","the Unique ID of the resource in an external repository",""
"2490933","2490813","2480209","archive_contact","","","the contact information for the archive POC ",""
