Textbox8,tbToday
Subseries Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Series,Subseries,Subseries_Name,Attribute,AttributeValue
ADCPA,N,01,ADCPA Series N Sub 01,Instrument Configuration,Teledyne RDI Workhorse Navigator 600 kHz dual
ADCPA,N,01,ADCPA Series N Sub 01,Link to the Specification,
ADCPA,N,01,ADCPA Series N Sub 01,Notes,
ADCPA,N,01,ADCPA Series N Sub 01,PrimaryScienceDiscipline,P
ADCPA,N,01,ADCPA Series N Sub 01,Produces Acoustic Interference,
ADCPA,N,01,ADCPA Series N Sub 01,Ready for 2013?,
ADCPA,N,01,ADCPA Series N Sub 01,RSN O&M Spares,
ADCPA,N,01,ADCPA Series N Sub 01,RSN Part Number,
ADCPA,N,01,ADCPA Series N Sub 01,Susceptible to Acoustic Interference,Yes
ADCPA,N,01,ADCPA Series N Sub 01,"Vendor CLIN, SubCLIN or Model #",
ADCPS,I,01,ADCPS Series I Sub 01,2009 Baseline Price*,"$60,575.00"
ADCPS,I,01,ADCPS Series I Sub 01,2009 Deployed Instrument Count,16
ADCPS,I,01,ADCPS Series I Sub 01,Alternate Instrument Class Name,Velocity Profiler (long range)
ADCPS,I,01,ADCPS Series I Sub 01,CE Spares,1
ADCPS,I,01,ADCPS Series I Sub 01,CGSN MREFC Spares,1
ADCPS,I,01,ADCPS Series I Sub 01,CGSN O&M Spares,
ADCPS,I,01,ADCPS Series I Sub 01,CGSN P/N,1336-00010-00009
ADCPS,I,01,ADCPS Series I Sub 01,ClassLongName,Velocity_Profile_Long_Range
ADCPS,I,01,ADCPS Series I Sub 01,Comments,WH LongRanger Monitor
ADCPS,I,01,ADCPS Series I Sub 01,CP Spares,
ADCPS,I,01,ADCPS Series I Sub 01,Description,ADCPs capable of measuring 500 m or greater from the instrument
ADCPS,I,01,ADCPS Series I Sub 01,ECRs that changed the count,
ADCPS,I,01,ADCPS Series I Sub 01,Global Spares,
ADCPS,I,01,ADCPS Series I Sub 01,Instrument Configuration,Teledyne RDI WHLM75-1500 w/ Ti Hardware
ADCPS,I,01,ADCPS Series I Sub 01,Link to the Specification,
ADCPS,I,01,ADCPS Series I Sub 01,Notes,
ADCPS,I,01,ADCPS Series I Sub 01,PrimaryScienceDiscipline,P
ADCPS,I,01,ADCPS Series I Sub 01,Produces Acoustic Interference,
ADCPS,I,01,ADCPS Series I Sub 01,Ready for 2013?,
ADCPS,I,01,ADCPS Series I Sub 01,RSN O&M Spares,
ADCPS,I,01,ADCPS Series I Sub 01,RSN Part Number,
ADCPS,I,01,ADCPS Series I Sub 01,Susceptible to Acoustic Interference,Yes
ADCPS,I,01,ADCPS Series I Sub 01,"Vendor CLIN, SubCLIN or Model #","ADYD09, I-WHM75-1500, I-Model#WHLQ-HWK (Ti hardware head)"
ADCPS,J,01,ADCPS Series J Sub 01,2009 Baseline Price*,"$60,575.00"
ADCPS,J,01,ADCPS Series J Sub 01,2009 Deployed Instrument Count,16
ADCPS,J,01,ADCPS Series J Sub 01,Alternate Instrument Class Name,Velocity Profiler (long range)
ADCPS,J,01,ADCPS Series J Sub 01,CE Spares,1
ADCPS,J,01,ADCPS Series J Sub 01,CGSN MREFC Spares,1
ADCPS,J,01,ADCPS Series J Sub 01,CGSN O&M Spares,1
ADCPS,J,01,ADCPS Series J Sub 01,CGSN P/N,1336-00010-00010
ADCPS,J,01,ADCPS Series J Sub 01,ClassLongName,Velocity_Profile_Long_Range
ADCPS,J,01,ADCPS Series J Sub 01,Comments,WH LongRanger Sentinel
ADCPS,J,01,ADCPS Series J Sub 01,CP Spares,1
ADCPS,J,01,ADCPS Series J Sub 01,Description,ADCPs capable of measuring 500 m or greater from the instrument
ADCPS,J,01,ADCPS Series J Sub 01,ECRs that changed the count,
ADCPS,J,01,ADCPS Series J Sub 01,Global Spares,
ADCPS,J,01,ADCPS Series J Sub 01,Instrument Configuration,Teledyne RDI WHLS75-1500 w/ Ti Hardware
ADCPS,J,01,ADCPS Series J Sub 01,Link to the Specification,
ADCPS,J,01,ADCPS Series J Sub 01,Notes,
ADCPS,J,01,ADCPS Series J Sub 01,PrimaryScienceDiscipline,P
ADCPS,J,01,ADCPS Series J Sub 01,Produces Acoustic Interference,
ADCPS,J,01,ADCPS Series J Sub 01,Ready for 2013?,
ADCPS,J,01,ADCPS Series J Sub 01,RSN O&M Spares,
ADCPS,J,01,ADCPS Series J Sub 01,RSN Part Number,
ADCPS,J,01,ADCPS Series J Sub 01,Susceptible to Acoustic Interference,Yes
ADCPS,J,01,ADCPS Series J Sub 01,"Vendor CLIN, SubCLIN or Model #","ADYD10, J-WHS75-1500, J-Model#WHLQ-HWK (Ti hardware head)"
ADCPS,K,01,ADCPS Series K Sub 01,2009 Baseline Price*,"$60,575.00"
ADCPS,K,01,ADCPS Series K Sub 01,2009 Deployed Instrument Count,16
ADCPS,K,01,ADCPS Series K Sub 01,Alternate Instrument Class Name,Velocity Profiler (long range)
ADCPS,K,01,ADCPS Series K Sub 01,CE Spares,
ADCPS,K,01,ADCPS Series K Sub 01,CGSN MREFC Spares,
ADCPS,K,01,ADCPS Series K Sub 01,CGSN O&M Spares,
ADCPS,K,01,ADCPS Series K Sub 01,CGSN P/N,
ADCPS,K,01,ADCPS Series K Sub 01,ClassLongName,Velocity_Profile_Long_Range
ADCPS,K,01,ADCPS Series K Sub 01,Comments,
ADCPS,K,01,ADCPS Series K Sub 01,CP Spares,
ADCPS,K,01,ADCPS Series K Sub 01,Description,ADCPs capable of measuring 500 m or greater from the instrument
ADCPS,K,01,ADCPS Series K Sub 01,ECRs that changed the count,
ADCPS,K,01,ADCPS Series K Sub 01,Global Spares,
ADCPS,K,01,ADCPS Series K Sub 01,Instrument Configuration,[Workhorse 75 kHz Long Ranger|http://www.rdinstruments.com/longranger.aspx]
ADCPS,K,01,ADCPS Series K Sub 01,Link to the Specification,
ADCPS,K,01,ADCPS Series K Sub 01,Notes,
ADCPS,K,01,ADCPS Series K Sub 01,PrimaryScienceDiscipline,P
ADCPS,K,01,ADCPS Series K Sub 01,Produces Acoustic Interference,
ADCPS,K,01,ADCPS Series K Sub 01,Ready for 2013?,
ADCPS,K,01,ADCPS Series K Sub 01,RSN O&M Spares,1
ADCPS,K,01,ADCPS Series K Sub 01,RSN Part Number,4830-58419
ADCPS,K,01,ADCPS Series K Sub 01,Susceptible to Acoustic Interference,Yes
ADCPS,K,01,ADCPS Series K Sub 01,"Vendor CLIN, SubCLIN or Model #",
ADCPS,L,01,ADCPS Series L Sub 01,2009 Baseline Price*,"$60,575.00"
ADCPS,L,01,ADCPS Series L Sub 01,2009 Deployed Instrument Count,16
ADCPS,L,01,ADCPS Series L Sub 01,Alternate Instrument Class Name,Velocity Profiler (long range)
ADCPS,L,01,ADCPS Series L Sub 01,CE Spares,
ADCPS,L,01,ADCPS Series L Sub 01,CGSN MREFC Spares,2
ADCPS,L,01,ADCPS Series L Sub 01,CGSN O&M Spares,1
ADCPS,L,01,ADCPS Series L Sub 01,CGSN P/N,1336-00010-00012
ADCPS,L,01,ADCPS Series L Sub 01,ClassLongName,Velocity_Profile_Long_Range
ADCPS,L,01,ADCPS Series L Sub 01,Comments,WH LongRanger Sentinel
ADCPS,L,01,ADCPS Series L Sub 01,CP Spares,1
ADCPS,L,01,ADCPS Series L Sub 01,Description,ADCPs capable of measuring 500 m or greater from the instrument
ADCPS,L,01,ADCPS Series L Sub 01,ECRs that changed the count,
ADCPS,L,01,ADCPS Series L Sub 01,Global Spares,2
ADCPS,L,01,ADCPS Series L Sub 01,Instrument Configuration,Teledyne RDI WHLS75-1500-I (includes IM) w/ Ti Hardware
ADCPS,L,01,ADCPS Series L Sub 01,Link to the Specification,
ADCPS,L,01,ADCPS Series L Sub 01,Notes,
ADCPS,L,01,ADCPS Series L Sub 01,PrimaryScienceDiscipline,P
ADCPS,L,01,ADCPS Series L Sub 01,Produces Acoustic Interference,
ADCPS,L,01,ADCPS Series L Sub 01,Ready for 2013?,
ADCPS,L,01,ADCPS Series L Sub 01,RSN O&M Spares,
ADCPS,L,01,ADCPS Series L Sub 01,RSN Part Number,
ADCPS,L,01,ADCPS Series L Sub 01,Susceptible to Acoustic Interference,Yes
ADCPS,L,01,ADCPS Series L Sub 01,"Vendor CLIN, SubCLIN or Model #","ADYD11, L-WHLS75-1500-I, L-Model#WHLQ-HWK (Ti hardware head)"
ADCPS,N,01,ADCPS Series N Sub 01,2009 Baseline Price*,"$60,575.00"
ADCPS,N,01,ADCPS Series N Sub 01,2009 Deployed Instrument Count,16
ADCPS,N,01,ADCPS Series N Sub 01,Alternate Instrument Class Name,Velocity Profiler (long range)
ADCPS,N,01,ADCPS Series N Sub 01,CE Spares,
ADCPS,N,01,ADCPS Series N Sub 01,CGSN MREFC Spares,
ADCPS,N,01,ADCPS Series N Sub 01,CGSN O&M Spares,2
ADCPS,N,01,ADCPS Series N Sub 01,CGSN P/N,1336-00010-00014
ADCPS,N,01,ADCPS Series N Sub 01,ClassLongName,Velocity_Profile_Long_Range
ADCPS,N,01,ADCPS Series N Sub 01,Comments,WH LongRanger Sentinel
ADCPS,N,01,ADCPS Series N Sub 01,CP Spares,
ADCPS,N,01,ADCPS Series N Sub 01,Description,ADCPs capable of measuring 500 m or greater from the instrument
ADCPS,N,01,ADCPS Series N Sub 01,ECRs that changed the count,
ADCPS,N,01,ADCPS Series N Sub 01,Global Spares,2
ADCPS,N,01,ADCPS Series N Sub 01,Instrument Configuration,Teledyne RDI WHLS75-6KS-I (includes IM) w/ Ti Hardware
ADCPS,N,01,ADCPS Series N Sub 01,Link to the Specification,
ADCPS,N,01,ADCPS Series N Sub 01,Notes,
ADCPS,N,01,ADCPS Series N Sub 01,PrimaryScienceDiscipline,P
ADCPS,N,01,ADCPS Series N Sub 01,Produces Acoustic Interference,
ADCPS,N,01,ADCPS Series N Sub 01,Ready for 2013?,
ADCPS,N,01,ADCPS Series N Sub 01,RSN O&M Spares,
ADCPS,N,01,ADCPS Series N Sub 01,RSN Part Number,
ADCPS,N,01,ADCPS Series N Sub 01,Susceptible to Acoustic Interference,Yes
ADCPS,N,01,ADCPS Series N Sub 01,"Vendor CLIN, SubCLIN or Model #","ADYD11, L-WHLS75-6KS-I, L-Model#WHLQ-HWK (Ti hardware head)"
ADCPT,A,01,ADCPT Series A Sub 01,2009 Baseline Price*,"$38,625.00"
ADCPT,A,01,ADCPT Series A Sub 01,2009 Deployed Instrument Count,18
ADCPT,A,01,ADCPT Series A Sub 01,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,A,01,ADCPT Series A Sub 01,CE Spares,1
ADCPT,A,01,ADCPT Series A Sub 01,CGSN MREFC Spares,1
ADCPT,A,01,ADCPT Series A Sub 01,CGSN O&M Spares,
ADCPT,A,01,ADCPT Series A Sub 01,CGSN P/N,1336-00010-00001
ADCPT,A,01,ADCPT Series A Sub 01,ClassLongName,Velocity_Profile_Short_Range
ADCPT,A,01,ADCPT Series A Sub 01,Comments,WH Sentinel (includes batteries)
ADCPT,A,01,ADCPT Series A Sub 01,CP Spares,
ADCPT,A,01,ADCPT Series A Sub 01,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,A,01,ADCPT Series A Sub 01,ECRs that changed the count,
ADCPT,A,01,ADCPT Series A Sub 01,Global Spares,
ADCPT,A,01,ADCPT Series A Sub 01,Instrument Configuration,Teledyne RDI WHS600-500 w/ Ti Hardware
ADCPT,A,01,ADCPT Series A Sub 01,Link to the Specification,
ADCPT,A,01,ADCPT Series A Sub 01,Notes,
ADCPT,A,01,ADCPT Series A Sub 01,PrimaryScienceDiscipline,P
ADCPT,A,01,ADCPT Series A Sub 01,Produces Acoustic Interference,
ADCPT,A,01,ADCPT Series A Sub 01,Ready for 2013?,
ADCPT,A,01,ADCPT Series A Sub 01,RSN O&M Spares,
ADCPT,A,01,ADCPT Series A Sub 01,RSN Part Number,
ADCPT,A,01,ADCPT Series A Sub 01,Susceptible to Acoustic Interference,Yes
ADCPT,A,01,ADCPT Series A Sub 01,"Vendor CLIN, SubCLIN or Model #","ADYD01, A-WHS600-500, A-Model#WHSM-HWK (Ti hardware body)"
ADCPT,B,01,ADCPT Series B Sub 01,2009 Baseline Price*,"$38,625.00"
ADCPT,B,01,ADCPT Series B Sub 01,2009 Deployed Instrument Count,18
ADCPT,B,01,ADCPT Series B Sub 01,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,B,01,ADCPT Series B Sub 01,CE Spares,1
ADCPT,B,01,ADCPT Series B Sub 01,CGSN MREFC Spares,1
ADCPT,B,01,ADCPT Series B Sub 01,CGSN O&M Spares,
ADCPT,B,01,ADCPT Series B Sub 01,CGSN P/N,1336-00010-00002
ADCPT,B,01,ADCPT Series B Sub 01,ClassLongName,Velocity_Profile_Short_Range
ADCPT,B,01,ADCPT Series B Sub 01,Comments,"WH Monitor (shorter housing, no batteries)"
ADCPT,B,01,ADCPT Series B Sub 01,CP Spares,
ADCPT,B,01,ADCPT Series B Sub 01,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,B,01,ADCPT Series B Sub 01,ECRs that changed the count,
ADCPT,B,01,ADCPT Series B Sub 01,Global Spares,
ADCPT,B,01,ADCPT Series B Sub 01,Instrument Configuration,Teledyne RDI WHM300-500 w/ Ti Hardware
ADCPT,B,01,ADCPT Series B Sub 01,Link to the Specification,
ADCPT,B,01,ADCPT Series B Sub 01,Notes,
ADCPT,B,01,ADCPT Series B Sub 01,PrimaryScienceDiscipline,P
ADCPT,B,01,ADCPT Series B Sub 01,Produces Acoustic Interference,
ADCPT,B,01,ADCPT Series B Sub 01,Ready for 2013?,
ADCPT,B,01,ADCPT Series B Sub 01,RSN O&M Spares,
ADCPT,B,01,ADCPT Series B Sub 01,RSN Part Number,
ADCPT,B,01,ADCPT Series B Sub 01,Susceptible to Acoustic Interference,Yes
ADCPT,B,01,ADCPT Series B Sub 01,"Vendor CLIN, SubCLIN or Model #","ADYD02, B-WHM300-500, B-Model#WHSM-HWK (Ti hardware head)"
ADCPT,C,01,ADCPT Series C Sub 01,2009 Baseline Price*,"$38,625.00"
ADCPT,C,01,ADCPT Series C Sub 01,2009 Deployed Instrument Count,18
ADCPT,C,01,ADCPT Series C Sub 01,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,C,01,ADCPT Series C Sub 01,CE Spares,1
ADCPT,C,01,ADCPT Series C Sub 01,CGSN MREFC Spares,
ADCPT,C,01,ADCPT Series C Sub 01,CGSN O&M Spares,1
ADCPT,C,01,ADCPT Series C Sub 01,CGSN P/N,1336-00010-00003
ADCPT,C,01,ADCPT Series C Sub 01,ClassLongName,Velocity_Profile_Short_Range
ADCPT,C,01,ADCPT Series C Sub 01,Comments,WH Sentinel (includes batteries)
ADCPT,C,01,ADCPT Series C Sub 01,CP Spares,
ADCPT,C,01,ADCPT Series C Sub 01,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,C,01,ADCPT Series C Sub 01,ECRs that changed the count,
ADCPT,C,01,ADCPT Series C Sub 01,Global Spares,
ADCPT,C,01,ADCPT Series C Sub 01,Instrument Configuration,Teledyne RDI WHS300-500 w/ Ti Hardware
ADCPT,C,01,ADCPT Series C Sub 01,Link to the Specification,
ADCPT,C,01,ADCPT Series C Sub 01,Notes,
ADCPT,C,01,ADCPT Series C Sub 01,PrimaryScienceDiscipline,P
ADCPT,C,01,ADCPT Series C Sub 01,Produces Acoustic Interference,
ADCPT,C,01,ADCPT Series C Sub 01,Ready for 2013?,
ADCPT,C,01,ADCPT Series C Sub 01,RSN O&M Spares,
ADCPT,C,01,ADCPT Series C Sub 01,RSN Part Number,
ADCPT,C,01,ADCPT Series C Sub 01,Susceptible to Acoustic Interference,Yes
ADCPT,C,01,ADCPT Series C Sub 01,"Vendor CLIN, SubCLIN or Model #","ADYD03, C-WHS300-500, C-Model#WHSM-HWK (Ti hardware head)"
ADCPT,D,01,ADCPT Series D Sub 01,2009 Baseline Price*,"$38,625.00"
ADCPT,D,01,ADCPT Series D Sub 01,2009 Deployed Instrument Count,18
ADCPT,D,01,ADCPT Series D Sub 01,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,D,01,ADCPT Series D Sub 01,CE Spares,
ADCPT,D,01,ADCPT Series D Sub 01,CGSN MREFC Spares,
ADCPT,D,01,ADCPT Series D Sub 01,CGSN O&M Spares,
ADCPT,D,01,ADCPT Series D Sub 01,CGSN P/N,
ADCPT,D,01,ADCPT Series D Sub 01,ClassLongName,Velocity_Profile_Short_Range
ADCPT,D,01,ADCPT Series D Sub 01,Comments,
ADCPT,D,01,ADCPT Series D Sub 01,CP Spares,
ADCPT,D,01,ADCPT Series D Sub 01,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,D,01,ADCPT Series D Sub 01,ECRs that changed the count,
ADCPT,D,01,ADCPT Series D Sub 01,Global Spares,
ADCPT,D,01,ADCPT Series D Sub 01,Instrument Configuration,[Quartermaster (150 kHz) with plastic housing|http://www.rdinstruments.com/quartermaster.aspx]
ADCPT,D,01,ADCPT Series D Sub 01,Link to the Specification,
ADCPT,D,01,ADCPT Series D Sub 01,Notes,
ADCPT,D,01,ADCPT Series D Sub 01,PrimaryScienceDiscipline,P
ADCPT,D,01,ADCPT Series D Sub 01,Produces Acoustic Interference,
ADCPT,D,01,ADCPT Series D Sub 01,Ready for 2013?,
ADCPT,D,01,ADCPT Series D Sub 01,RSN O&M Spares,1
ADCPT,D,01,ADCPT Series D Sub 01,RSN Part Number,4830-58315
ADCPT,D,01,ADCPT Series D Sub 01,Susceptible to Acoustic Interference,Yes
ADCPT,D,01,ADCPT Series D Sub 01,"Vendor CLIN, SubCLIN or Model #",
ADCPT,E,01,ADCPT Series E Sub 01,2009 Baseline Price*,"$38,625.00"
ADCPT,E,01,ADCPT Series E Sub 01,2009 Deployed Instrument Count,18
ADCPT,E,01,ADCPT Series E Sub 01,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,E,01,ADCPT Series E Sub 01,CE Spares,
ADCPT,E,01,ADCPT Series E Sub 01,CGSN MREFC Spares,
ADCPT,E,01,ADCPT Series E Sub 01,CGSN O&M Spares,
ADCPT,E,01,ADCPT Series E Sub 01,CGSN P/N,
ADCPT,E,01,ADCPT Series E Sub 01,ClassLongName,Velocity_Profile_Short_Range
ADCPT,E,01,ADCPT Series E Sub 01,Comments,
ADCPT,E,01,ADCPT Series E Sub 01,CP Spares,
ADCPT,E,01,ADCPT Series E Sub 01,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,E,01,ADCPT Series E Sub 01,ECRs that changed the count,
ADCPT,E,01,ADCPT Series E Sub 01,Global Spares,
ADCPT,E,01,ADCPT Series E Sub 01,Instrument Configuration,[Quartermaster (150 kHz) with titanium housing|http://www.rdinstruments.com/quartermaster.aspx]
ADCPT,E,01,ADCPT Series E Sub 01,Link to the Specification,
ADCPT,E,01,ADCPT Series E Sub 01,Notes,
ADCPT,E,01,ADCPT Series E Sub 01,PrimaryScienceDiscipline,P
ADCPT,E,01,ADCPT Series E Sub 01,Produces Acoustic Interference,
ADCPT,E,01,ADCPT Series E Sub 01,Ready for 2013?,
ADCPT,E,01,ADCPT Series E Sub 01,RSN O&M Spares,1
ADCPT,E,01,ADCPT Series E Sub 01,RSN Part Number,4830-68076
ADCPT,E,01,ADCPT Series E Sub 01,Susceptible to Acoustic Interference,Yes
ADCPT,E,01,ADCPT Series E Sub 01,"Vendor CLIN, SubCLIN or Model #",
ADCPT,F,01,ADCPT Series F Sub 01,2009 Baseline Price*,"$38,625.00"
ADCPT,F,01,ADCPT Series F Sub 01,2009 Deployed Instrument Count,18
ADCPT,F,01,ADCPT Series F Sub 01,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,F,01,ADCPT Series F Sub 01,CE Spares,
ADCPT,F,01,ADCPT Series F Sub 01,CGSN MREFC Spares,1
ADCPT,F,01,ADCPT Series F Sub 01,CGSN O&M Spares,
ADCPT,F,01,ADCPT Series F Sub 01,CGSN P/N,1336-00010-00006
ADCPT,F,01,ADCPT Series F Sub 01,ClassLongName,Velocity_Profile_Short_Range
ADCPT,F,01,ADCPT Series F Sub 01,Comments,WH Sentinel (includes batteries)
ADCPT,F,01,ADCPT Series F Sub 01,CP Spares,1
ADCPT,F,01,ADCPT Series F Sub 01,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,F,01,ADCPT Series F Sub 01,ECRs that changed the count,
ADCPT,F,01,ADCPT Series F Sub 01,Global Spares,
ADCPT,F,01,ADCPT Series F Sub 01,Instrument Configuration,Teledyne RDI WHS150-1500 w/ Ti Hardware
ADCPT,F,01,ADCPT Series F Sub 01,Link to the Specification,
ADCPT,F,01,ADCPT Series F Sub 01,Notes,
ADCPT,F,01,ADCPT Series F Sub 01,PrimaryScienceDiscipline,P
ADCPT,F,01,ADCPT Series F Sub 01,Produces Acoustic Interference,
ADCPT,F,01,ADCPT Series F Sub 01,Ready for 2013?,
ADCPT,F,01,ADCPT Series F Sub 01,RSN O&M Spares,
ADCPT,F,01,ADCPT Series F Sub 01,RSN Part Number,
ADCPT,F,01,ADCPT Series F Sub 01,Susceptible to Acoustic Interference,Yes
ADCPT,F,01,ADCPT Series F Sub 01,"Vendor CLIN, SubCLIN or Model #","ADYD06, F-WHS150-1500, F-Model#WHLQ-HWK (Ti hardware head)"
ADCPT,G,01,ADCPT Series G Sub 01,2009 Baseline Price*,"$38,625.00"
ADCPT,G,01,ADCPT Series G Sub 01,2009 Deployed Instrument Count,18
ADCPT,G,01,ADCPT Series G Sub 01,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,G,01,ADCPT Series G Sub 01,CE Spares,
ADCPT,G,01,ADCPT Series G Sub 01,CGSN MREFC Spares,
ADCPT,G,01,ADCPT Series G Sub 01,CGSN O&M Spares,1
ADCPT,G,01,ADCPT Series G Sub 01,CGSN P/N,1336-00010-00007
ADCPT,G,01,ADCPT Series G Sub 01,ClassLongName,Velocity_Profile_Short_Range
ADCPT,G,01,ADCPT Series G Sub 01,Comments,WH Sentinel -- Quartermaster
ADCPT,G,01,ADCPT Series G Sub 01,CP Spares,1
ADCPT,G,01,ADCPT Series G Sub 01,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,G,01,ADCPT Series G Sub 01,ECRs that changed the count,
ADCPT,G,01,ADCPT Series G Sub 01,Global Spares,
ADCPT,G,01,ADCPT Series G Sub 01,Instrument Configuration,Teledyne RDI WHS150-1500 w/ Ti Hardware w/ Inductive Modem
ADCPT,G,01,ADCPT Series G Sub 01,Link to the Specification,
ADCPT,G,01,ADCPT Series G Sub 01,Notes,
ADCPT,G,01,ADCPT Series G Sub 01,PrimaryScienceDiscipline,P
ADCPT,G,01,ADCPT Series G Sub 01,Produces Acoustic Interference,
ADCPT,G,01,ADCPT Series G Sub 01,Ready for 2013?,
ADCPT,G,01,ADCPT Series G Sub 01,RSN O&M Spares,
ADCPT,G,01,ADCPT Series G Sub 01,RSN Part Number,
ADCPT,G,01,ADCPT Series G Sub 01,Susceptible to Acoustic Interference,Yes
ADCPT,G,01,ADCPT Series G Sub 01,"Vendor CLIN, SubCLIN or Model #","ADYD07, G-WHS150-1500, G-Model#WHQL-IMMUG-OPT, G-Model#WHLQ-HWK (Ti hardware head)"
ADCPT,M,01,ADCPT Series M Sub 01,2009 Baseline Price*,"$38,625.00"
ADCPT,M,01,ADCPT Series M Sub 01,2009 Deployed Instrument Count,18
ADCPT,M,01,ADCPT Series M Sub 01,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,M,01,ADCPT Series M Sub 01,CE Spares,1
ADCPT,M,01,ADCPT Series M Sub 01,CGSN MREFC Spares,
ADCPT,M,01,ADCPT Series M Sub 01,CGSN O&M Spares,1
ADCPT,M,01,ADCPT Series M Sub 01,CGSN P/N,1336-00010-00013
ADCPT,M,01,ADCPT Series M Sub 01,ClassLongName,Velocity_Profile_Short_Range
ADCPT,M,01,ADCPT Series M Sub 01,Comments,WH Sentinel (includes batteries) Need wave measuring capability
ADCPT,M,01,ADCPT Series M Sub 01,CP Spares,
ADCPT,M,01,ADCPT Series M Sub 01,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,M,01,ADCPT Series M Sub 01,ECRs that changed the count,
ADCPT,M,01,ADCPT Series M Sub 01,Global Spares,
ADCPT,M,01,ADCPT Series M Sub 01,Instrument Configuration,Teledyne RDI WHS600-500 w/ wave option (50 m pressure sensor range) w/ Ti Hardware
ADCPT,M,01,ADCPT Series M Sub 01,Link to the Specification,
ADCPT,M,01,ADCPT Series M Sub 01,Notes,
ADCPT,M,01,ADCPT Series M Sub 01,PrimaryScienceDiscipline,P
