Textbox8,tbToday
Make/Model Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Manufacturer,Make_Model,Make_Model_Description,Attribute,Attribute_Value
Satlantic,PAR-SER-600m,PAR-SER-600m,Output Description,
Satlantic,PAR-SER-600m,PAR-SER-600m,Vendor Website,[Satlantic|http://www.satlantic.com/]
Satlantic,SUNA V2,SUNA V2,Calibration Shelf Life,
Satlantic,SUNA V2,SUNA V2,Connector,
Satlantic,SUNA V2,SUNA V2,Input Voltage Range,
Satlantic,SUNA V2,SUNA V2,Interface,
Satlantic,SUNA V2,SUNA V2,Lead Time,
Satlantic,SUNA V2,SUNA V2,Make/Model Website,
Satlantic,SUNA V2,SUNA V2,Output Description,
Satlantic,SUNA V2,SUNA V2,Vendor Website,
Sea-Bird,FastCAT 49 CTD,FastCAT 49 CTD,Calibration Shelf Life,
Sea-Bird,FastCAT 49 CTD,FastCAT 49 CTD,Connector,
Sea-Bird,FastCAT 49 CTD,FastCAT 49 CTD,Input Voltage Range,
Sea-Bird,FastCAT 49 CTD,FastCAT 49 CTD,Interface,
Sea-Bird,FastCAT 49 CTD,FastCAT 49 CTD,Lead Time,
Sea-Bird,FastCAT 49 CTD,FastCAT 49 CTD,Make/Model Website,
Sea-Bird,FastCAT 49 CTD,FastCAT 49 CTD,Output Description,
Sea-Bird,FastCAT 49 CTD,FastCAT 49 CTD,Vendor Website,
Sea-Bird,SBE 16plus-IM V2,SBE 16plus-IM V2,Calibration Shelf Life,
Sea-Bird,SBE 16plus-IM V2,SBE 16plus-IM V2,Connector,
Sea-Bird,SBE 16plus-IM V2,SBE 16plus-IM V2,Input Voltage Range,
Sea-Bird,SBE 16plus-IM V2,SBE 16plus-IM V2,Interface,
Sea-Bird,SBE 16plus-IM V2,SBE 16plus-IM V2,Lead Time,
Sea-Bird,SBE 16plus-IM V2,SBE 16plus-IM V2,Make/Model Website,
Sea-Bird,SBE 16plus-IM V2,SBE 16plus-IM V2,Output Description,
Sea-Bird,SBE 16plus-IM V2,SBE 16plus-IM V2,Vendor Website,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Calibration Shelf Life,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Connector,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Input Voltage Range,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Interface,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Lead Time,6-8 weeks
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Make/Model Website,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Output Description,
Sea-Bird,SBE 16plusV2,SBE 16plusV2,Vendor Website,
Sea-Bird,SBE 26plus,SBE 26plus,Calibration Shelf Life,
Sea-Bird,SBE 26plus,SBE 26plus,Connector,
Sea-Bird,SBE 26plus,SBE 26plus,Input Voltage Range,
Sea-Bird,SBE 26plus,SBE 26plus,Interface,
Sea-Bird,SBE 26plus,SBE 26plus,Lead Time,
Sea-Bird,SBE 26plus,SBE 26plus,Make/Model Website,
Sea-Bird,SBE 26plus,SBE 26plus,Output Description,
Sea-Bird,SBE 26plus,SBE 26plus,Vendor Website,
Sea-Bird,SBE 37IM,SBE 37IM,Calibration Shelf Life,
Sea-Bird,SBE 37IM,SBE 37IM,Connector,
Sea-Bird,SBE 37IM,SBE 37IM,Input Voltage Range,
Sea-Bird,SBE 37IM,SBE 37IM,Interface,
Sea-Bird,SBE 37IM,SBE 37IM,Lead Time,6-8 weeks
Sea-Bird,SBE 37IM,SBE 37IM,Make/Model Website,
Sea-Bird,SBE 37IM,SBE 37IM,Output Description,
Sea-Bird,SBE 37IM,SBE 37IM,Vendor Website,
Sea-Bird,SBE 43,SBE 43,Calibration Shelf Life,
Sea-Bird,SBE 43,SBE 43,Connector,
Sea-Bird,SBE 43,SBE 43,Input Voltage Range,
Sea-Bird,SBE 43,SBE 43,Interface,
Sea-Bird,SBE 43,SBE 43,Lead Time,
Sea-Bird,SBE 43,SBE 43,Make/Model Website,
Sea-Bird,SBE 43,SBE 43,Output Description,
Sea-Bird,SBE 43,SBE 43,Vendor Website,
Sea-Bird,SBE 43F,SBE 43F,Calibration Shelf Life,
Sea-Bird,SBE 43F,SBE 43F,Connector,
Sea-Bird,SBE 43F,SBE 43F,Input Voltage Range,
Sea-Bird,SBE 43F,SBE 43F,Interface,
Sea-Bird,SBE 43F,SBE 43F,Lead Time,
Sea-Bird,SBE 43F,SBE 43F,Make/Model Website,
Sea-Bird,SBE 43F,SBE 43F,Output Description,
Sea-Bird,SBE 43F,SBE 43F,Vendor Website,
Sea-Bird,SBE 52MP,SBE 52MP,Calibration Shelf Life,
Sea-Bird,SBE 52MP,SBE 52MP,Connector,
Sea-Bird,SBE 52MP,SBE 52MP,Input Voltage Range,
Sea-Bird,SBE 52MP,SBE 52MP,Interface,
Sea-Bird,SBE 52MP,SBE 52MP,Lead Time,
Sea-Bird,SBE 52MP,SBE 52MP,Make/Model Website,
Sea-Bird,SBE 52MP,SBE 52MP,Output Description,
Sea-Bird,SBE 52MP,SBE 52MP,Vendor Website,
Sea-Bird,SBE 54,SBE 54,Calibration Shelf Life,
Sea-Bird,SBE 54,SBE 54,Connector,"MCBH(WB)-6-FS-Ti (1:Gnd, 2:RXD, 3:TXD, 4:+VDC, 5:NC, 6:NC)"
Sea-Bird,SBE 54,SBE 54,Input Voltage Range,12-28 VDC
Sea-Bird,SBE 54,SBE 54,Interface,RS-232
Sea-Bird,SBE 54,SBE 54,Lead Time,
Sea-Bird,SBE 54,SBE 54,Make/Model Website,
Sea-Bird,SBE 54,SBE 54,Output Description,Data output is in XML format
Sea-Bird,SBE 54,SBE 54,Vendor Website,
Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,Calibration Shelf Life,
Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,Connector,
Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,Input Voltage Range,
Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,Interface,
Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,Lead Time,
Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,Make/Model Website,
Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,Output Description,
Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,Vendor Website,
Star Engineering,ASIMET,ASIMET,Calibration Shelf Life,
Star Engineering,ASIMET,ASIMET,Connector,
Star Engineering,ASIMET,ASIMET,Input Voltage Range,
Star Engineering,ASIMET,ASIMET,Interface,
Star Engineering,ASIMET,ASIMET,Lead Time,
Star Engineering,ASIMET,ASIMET,Make/Model Website,
Star Engineering,ASIMET,ASIMET,Output Description,
